Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.98,251.21,245.95,250.18,244.1,126925200
2019-01-03,248.23,248.57,243.67,244.21,238.27,144140700
2019-01-04,247.59,253.11,247.17,252.39,246.25,142628800
2019-01-07,252.69,255.95,251.69,254.38,248.19,103139100
2019-01-08,256.82,257.31,254.0,256.77,250.53,102512600
2019-01-09,257.56,258.91,256.19,257.97,251.7,95006600
2019-01-10,256.26,259.16,255.5,258.88,252.58,96823900
2019-01-11,257.68,259.01,257.03,258.98,252.68,73858100
2019-01-14,256.86,258.3,256.41,257.4,251.14,70908200
2019-01-15,257.82,260.7,257.81,260.35,254.02,85208300
2019-01-16,260.83,261.97,260.6,260.98,254.63,77636700
2019-01-17,260.01,263.92,259.96,262.96,256.56,96118400
2019-01-18,264.98,266.98,263.0,266.46,259.98,127900300
2019-01-22,264.82,265.06,261.06,262.86,256.47,115531200
2019-01-23,264.01,264.79,260.66,263.41,257.0,86030300
2019-01-24,263.21,264.2,262.08,263.55,257.14,59204100
2019-01-25,265.61,266.7,263.66,265.78,259.32,96883400
2019-01-28,263.39,263.83,261.79,263.76,257.35,85613700
2019-01-29,263.92,264.55,262.48,263.41,257.0,66136300
2019-01-30,265.1,268.52,264.25,267.58,261.07,92473700
2019-01-31,267.51,270.47,267.27,269.93,263.36,104012100
2019-02-01,270.15,271.2,269.18,270.06,263.49,85782500
2019-02-04,270.11,272.03,269.36,271.96,265.35,60744800
2019-02-05,272.44,273.44,271.88,273.1,266.46,79552800
2019-02-06,272.79,273.34,271.92,272.74,266.11,58347800
2019-02-07,270.94,271.55,268.29,270.14,263.57,95482000
2019-02-08,268.75,270.58,267.83,270.47,263.89,75788900
2019-02-11,271.2,271.49,270.03,270.62,264.04,68021400
2019-02-12,272.42,274.52,272.34,274.1,267.43,72270200
2019-02-13,275.03,275.93,274.56,274.99,268.3,65277200
2019-02-14,273.78,275.64,272.87,274.38,267.71,83234400
2019-02-15,276.36,277.41,276.13,277.37,270.62,97088700
2019-02-19,276.48,278.58,276.47,277.85,271.09,59120800
2019-02-20,277.81,278.92,277.25,278.41,271.64,76610800
2019-02-21,277.7,278.1,276.35,277.42,270.67,64214700
2019-02-22,278.11,279.36,277.4,279.14,272.35,78114600
2019-02-25,280.73,281.31,279.43,279.52,272.72,69030700
2019-02-26,279.13,280.3,278.9,279.32,272.53,56844100
2019-02-27,278.52,279.59,277.48,279.2,272.41,56921600
2019-02-28,278.96,279.45,278.32,278.68,271.9,69268300
2019-03-01,280.44,280.88,278.82,280.42,273.6,78880500
2019-03-04,281.6,281.87,276.84,279.4,272.6,106494600
2019-03-05,279.54,279.76,278.41,279.02,272.23,59114600
2019-03-06,279.15,279.16,276.97,277.33,270.58,75039800
2019-03-07,276.83,276.99,274.07,275.01,268.32,94885100
2019-03-08,272.94,274.65,272.42,274.46,267.78,85795800
2019-03-11,275.26,278.62,275.23,278.44,271.67,65098900
2019-03-12,279.06,280.07,278.85,279.49,272.69,79667500
2019-03-13,280.48,282.38,280.3,281.34,274.5,80639200
2019-03-14,281.37,281.84,280.67,281.16,274.32,67518400
2019-03-15,280.54,282.21,280.33,281.31,275.68,81309000
2019-03-18,281.55,282.66,281.3,282.33,276.68,62199800
2019-03-19,283.51,284.36,281.41,282.4,276.75,90268100
2019-03-20,282.16,283.5,280.32,281.55,275.91,84609200
2019-03-21,280.64,285.18,280.59,284.73,279.03,79550400
2019-03-22,283.22,283.8,279.18,279.25,273.66,122659300
2019-03-25,278.87,280.19,277.64,279.04,273.45,85575200
2019-03-26,280.99,282.18,279.56,281.12,275.49,68125900
2019-03-27,281.11,281.76,277.93,279.65,274.05,72224700
2019-03-28,280.35,281.21,279.07,280.71,275.09,56238500
2019-03-29,282.39,282.84,281.14,282.48,276.82,82186800
2019-04-01,284.7,286.16,284.4,285.83,280.11,77617900
2019-04-02,286.04,286.23,285.09,285.97,280.24,40070400
2019-04-03,287.32,287.76,285.75,286.42,280.68,68243200
2019-04-04,286.78,287.46,286.01,287.18,281.43,48997500
2019-04-05,287.92,288.63,287.6,288.57,282.79,58621700
2019-04-08,288.1,288.91,287.37,288.79,283.01,53566300
2019-04-09,287.72,288.08,286.7,287.31,281.56,66142300
2019-04-10,287.77,288.39,287.31,288.29,282.52,52601500
2019-04-11,288.83,288.84,287.58,288.21,282.44,55093100
2019-04-12,290.0,290.47,288.26,290.16,284.35,69727800
2019-04-15,290.24,290.35,289.08,289.97,284.16,49596700
2019-04-16,290.95,291.01,289.5,290.16,284.35,52153200
2019-04-17,291.4,291.43,288.99,289.45,283.65,58268300
2019-04-18,290.1,290.32,288.66,290.02,284.21,68708500
2019-04-22,289.17,290.44,289.07,290.27,284.46,40160100
2019-04-23,290.68,293.14,290.42,292.88,287.02,52246600
2019-04-24,292.79,293.16,292.07,292.23,286.38,50392900
2019-04-25,292.12,292.78,290.73,292.05,286.2,57770900
2019-04-26,292.1,293.49,291.24,293.41,287.53,50916400
2019-04-29,293.51,294.45,293.41,293.87,287.99,57197700
2019-04-30,293.49,294.34,291.92,294.02,288.13,81111700
2019-05-01,294.72,294.95,291.8,291.81,285.97,71671900
2019-05-02,291.68,292.7,289.52,291.18,285.35,65030200
2019-05-03,292.82,294.34,291.3,294.03,288.14,56543700
2019-05-06,289.25,293.31,288.9,292.82,286.96,107198100
2019-05-07,290.15,290.81,285.81,287.93,282.16,144729900
2019-05-08,287.53,289.43,286.87,287.53,281.77,91568300
2019-05-09,285.23,287.33,283.3,286.66,280.92,103471100
2019-05-10,285.62,288.94,282.3,288.1,282.33,112429300
2019-05-13,282.42,283.49,279.93,280.86,275.24,127290500
2019-05-14,281.99,285.1,281.85,283.4,277.73,77003200
2019-05-15,281.59,285.77,281.36,285.06,279.35,73956400
2019-05-16,285.84,289.21,285.76,287.7,281.94,76749600
2019-05-17,285.14,288.6,285.12,285.84,280.12,100353000
2019-05-20,284.06,285.96,283.12,283.95,278.26,62877600
2019-05-21,285.83,286.93,285.55,286.51,280.77,46847100
2019-05-22,285.45,286.69,285.1,285.63,279.91,49482500
2019-05-23,283.16,283.21,280.57,282.14,276.49,98733800
2019-05-24,283.74,284.2,282.09,282.78,277.12,55268100
2019-05-28,283.09,284.15,280.13,280.15,274.54,70029400
2019-05-29,278.91,279.36,276.71,278.27,272.7,104972900
2019-05-30,279.11,280.04,277.81,279.03,273.44,62523800
2019-05-31,276.2,277.12,275.24,275.27,269.76,86862800
2019-06-03,275.31,276.55,273.09,274.57,269.07,96428000
2019-06-04,277.12,280.68,276.62,280.53,274.91,77231900
2019-06-05,282.33,282.99,280.32,282.96,277.29,71169700
2019-06-06,283.29,285.55,282.57,284.8,279.1,69430400
2019-06-07,285.93,288.85,285.74,287.65,281.89,74272200
2019-06-10,289.37,290.82,288.87,288.97,283.18,60799100
2019-06-11,290.99,291.4,288.18,288.9,283.12,58641300
2019-06-12,288.64,289.26,287.82,288.39,282.62,46984700
2019-06-13,289.4,289.98,288.62,289.58,283.78,48945200
2019-06-14,289.26,289.93,288.41,289.26,283.47,52324700
2019-06-17,289.52,290.22,289.18,289.37,283.58,39205700
2019-06-18,291.39,293.57,290.99,292.4,286.55,85434800
2019-06-19,292.55,293.65,291.47,293.06,287.19,78674400
2019-06-20,296.04,296.31,293.13,295.86,289.94,116570000
2019-06-21,294.13,295.52,293.76,294.0,289.51,83309500
2019-06-24,294.23,294.58,293.47,293.64,289.16,47582700
2019-06-25,293.7,293.73,290.64,290.76,286.32,82028700
2019-06-26,291.75,292.31,290.35,290.47,286.04,51584900
2019-06-27,291.31,292.06,290.89,291.5,287.05,40355200
2019-06-28,292.58,293.55,292.01,293.0,288.53,59350900
2019-07-01,296.68,296.92,294.33,295.66,291.15,79107500
2019-07-02,295.61,296.49,294.68,296.43,291.91,61504500
2019-07-03,297.18,298.82,297.02,298.8,294.24,40898900
2019-07-05,297.44,298.64,296.01,298.46,293.91,51677300
2019-07-08,297.01,298.26,296.22,296.82,292.29,45841800
2019-07-09,295.54,297.52,295.48,297.19,292.66,41101300
2019-07-10,298.37,299.66,297.78,298.61,294.05,58448500
2019-07-11,299.32,299.58,298.2,299.31,294.74,50826100
2019-07-12,299.85,300.73,299.51,300.65,296.06,40326000
2019-07-15,301.13,301.13,300.19,300.75,296.16,33900000
2019-07-16,300.65,300.88,299.44,299.78,295.21,36650100
2019-07-17,299.75,299.93,297.74,297.74,293.2,36036300
2019-07-18,297.19,299.25,296.7,298.83,294.27,51392600
2019-07-19,300.04,300.07,296.98,297.17,292.64,58678600
2019-07-22,297.61,298.5,297.04,297.9,293.35,43638100
2019-07-23,299.14,300.03,298.22,300.03,295.45,44564500
2019-07-24,299.19,301.44,299.09,301.44,296.84,47213200
2019-07-25,300.94,301.0,299.11,300.0,295.42,55394100
2019-07-26,300.76,302.23,300.62,302.01,297.4,45084100
2019-07-29,301.88,302.01,300.85,301.46,296.86,38126500
2019-07-30,299.91,301.17,299.49,300.72,296.13,45849000
2019-07-31,300.99,301.2,295.2,297.43,292.89,104245200
2019-08-01,297.6,300.87,293.96,294.84,290.34,142646600
2019-08-02,293.85,294.12,290.9,292.62,288.16,116749700
2019-08-05,288.09,288.21,281.72,283.82,279.49,178745400
2019-08-06,285.91,288.04,284.28,287.8,283.41,120711700
2019-08-07,284.4,288.82,282.04,287.97,283.58,140572300
2019-08-08,289.62,293.62,289.01,293.62,289.14,87713900
2019-08-09,292.58,293.24,289.65,291.62,287.17,93730000
2019-08-12,289.96,291.61,287.02,288.07,283.67,62629500
2019-08-13,287.74,294.15,287.36,292.55,288.09,94299800
2019-08-14,288.07,288.74,283.76,283.9,279.57,135622100
2019-08-15,284.88,285.64,282.39,284.65,280.31,99556600
2019-08-16,286.48,289.33,284.71,288.85,284.44,83018300
2019-08-19,292.19,293.08,291.44,292.33,287.87,53571800
2019-08-20,291.77,292.36,289.95,290.09,285.66,51596400
2019-08-21,292.48,292.86,291.72,292.45,287.99,49524700
2019-08-22,293.23,293.93,290.4,292.36,287.9,51666400
2019-08-23,290.92,292.76,283.47,284.85,280.5,149161500
2019-08-26,287.27,288.0,285.58,288.0,283.61,72423800
2019-08-27,289.54,289.95,286.03,286.87,282.49,66668900
2019-08-28,286.14,289.07,285.25,288.89,284.48,59696700
2019-08-29,291.72,293.16,290.61,292.58,288.12,57899400
2019-08-30,294.22,294.24,291.42,292.45,287.99,62901200
2019-09-03,290.57,291.58,289.27,290.74,286.3,69101400
2019-09-04,293.14,294.06,292.31,294.04,289.55,46887300
2019-09-05,296.79,298.83,294.0,297.82,293.28,83258100
2019-09-06,298.17,298.76,297.42,298.05,293.5,49584300
2019-09-09,299.14,299.24,297.16,298.2,293.65,51260300
2019-09-10,297.36,298.2,295.97,298.13,293.58,57947100
2019-09-11,298.47,300.34,297.75,300.25,295.67,68821100
2019-09-12,301.25,302.46,300.41,301.29,296.69,72908700
2019-09-13,301.78,302.17,300.68,301.09,296.5,62104800
2019-09-16,299.84,301.14,299.45,300.16,295.58,58191200
2019-09-17,299.94,301.02,299.75,300.92,296.33,41475500
2019-09-18,300.49,301.22,298.24,301.1,296.51,73375800
2019-09-19,301.53,302.63,300.71,301.08,296.49,76560500
2019-09-20,300.36,300.67,297.41,298.28,295.09,89565000
2019-09-23,297.55,299.0,297.27,298.21,295.02,43476800
2019-09-24,299.41,299.84,294.81,295.87,292.7,94869400
2019-09-25,295.96,298.11,294.33,297.62,294.43,71854000
2019-09-26,297.63,297.86,295.45,297.0,293.82,56179700
2019-09-27,297.83,297.95,293.69,295.4,292.24,84746600
2019-09-30,295.97,297.55,295.92,296.77,293.59,51662400
2019-10-01,297.74,298.46,293.0,293.24,290.1,88242400
2019-10-02,291.5,291.51,286.64,288.06,284.97,122539500
2019-10-03,287.81,290.45,284.82,290.42,287.31,85278800
2019-10-04,291.14,294.63,291.08,294.35,291.2,65091200
2019-10-07,293.47,295.26,292.77,293.08,289.94,59610500
