Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.88,145.44,99.39,8164300
2000-01-04,143.53,144.06,139.64,139.75,95.51,8089800
2000-01-05,139.94,141.53,137.25,140.0,95.68,12177900
2000-01-06,139.62,141.5,137.75,137.75,94.14,6227200
2000-01-07,140.31,145.75,140.06,145.75,99.61,8066500
2000-01-10,146.25,146.91,145.03,146.25,99.95,5741700
2000-01-11,145.81,146.09,143.5,144.5,98.75,7503700
2000-01-12,144.59,144.59,142.88,143.06,97.77,6907700
2000-01-13,144.47,145.75,143.28,145.0,99.1,5158300
2000-01-14,146.53,147.47,145.97,146.97,100.44,7437300
2000-01-18,145.34,146.62,145.19,145.81,99.65,6488500
2000-01-19,145.31,147.0,145.0,147.0,100.46,6157900
2000-01-20,146.97,146.97,143.81,144.75,98.92,5800100
2000-01-21,145.5,145.5,144.06,144.44,98.71,6244800
2000-01-24,145.66,145.84,139.41,140.34,95.91,7896900
2000-01-25,140.52,141.94,139.0,141.94,97.0,9942500
2000-01-26,141.0,141.55,140.09,140.81,96.23,5158100
2000-01-27,141.84,142.22,138.12,140.25,95.85,10922700
2000-01-28,139.44,140.06,135.53,135.88,92.86,11916200
2000-01-31,135.81,139.67,135.0,139.56,95.38,10768700
2000-02-01,139.75,141.69,138.53,140.94,96.32,8419900
2000-02-02,141.28,142.25,140.38,141.06,96.4,6205900
2000-02-03,140.88,143.25,140.0,143.19,97.86,7997500
2000-02-04,143.19,144.0,142.12,142.59,97.45,4925400
2000-02-07,142.56,142.78,141.44,142.38,97.3,5845800
2000-02-08,143.97,144.56,143.62,144.31,98.63,4936400
2000-02-09,144.47,144.47,141.27,141.28,96.55,8511500
2000-02-10,141.62,142.56,140.88,141.56,96.75,6690600
2000-02-11,141.84,141.94,138.03,138.69,94.78,9849800
2000-02-14,139.78,139.78,138.31,139.5,95.34,8528800
2000-02-15,139.25,141.22,137.8,141.08,96.42,11078300
2000-02-16,140.38,140.94,138.8,139.0,95.0,8845400
2000-02-17,140.44,140.44,138.22,138.28,94.5,7584200
2000-02-18,138.88,138.88,134.62,135.31,92.47,9409200
2000-02-22,135.19,136.34,133.53,134.97,92.24,16415400
2000-02-23,135.62,137.47,134.5,136.56,93.33,12119000
2000-02-24,136.69,137.03,133.09,133.81,91.45,17375000
2000-02-25,135.19,136.72,133.12,133.33,91.12,10559900
2000-02-28,133.38,136.69,132.72,136.12,93.03,13397800
2000-02-29,136.06,137.44,135.75,137.44,93.93,8242500
2000-03-01,137.62,139.0,137.22,138.44,94.61,6868000
