Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,1.019200,1.019700,1.013000,1.015600,1.015600,0
2010-04-01,1.015700,1.015700,1.006700,1.008300,1.008300,0
2010-04-02,1.008300,1.012900,1.007100,1.010200,1.010200,0
2010-04-05,1.008000,1.008740,1.001000,1.001900,1.001900,0
2010-04-06,1.001890,1.004600,0.998600,1.000900,1.000900,0
2010-04-07,1.000900,1.005950,0.997600,1.004300,1.004300,0
2010-04-08,1.004200,1.010200,1.001400,1.001400,1.001400,0
2010-04-09,1.001500,1.007800,0.998900,1.002300,1.002300,0
2010-04-12,1.002500,1.008570,1.001000,1.002700,1.002700,0
2010-04-13,1.002400,1.006300,1.000400,1.001400,1.001400,0
2010-04-14,1.001470,1.001700,0.995200,0.998300,0.998300,0
2010-04-15,0.998300,1.003400,0.995900,1.001900,1.001900,0
2010-04-16,1.001800,1.015900,0.999800,1.012700,1.012700,0
2010-04-19,1.015400,1.021200,1.013690,1.014400,1.014400,0
2010-04-20,1.014500,1.016000,0.997190,0.997900,0.997900,0
2010-04-21,0.998000,1.000900,0.993000,0.999000,0.999000,0
2010-04-22,0.999000,1.003620,0.996000,1.001600,1.001600,0
2010-04-23,1.001500,1.006200,0.996700,0.999000,0.999000,0
2010-04-26,0.998800,1.002100,0.996700,1.000200,1.000200,0
2010-04-27,1.000400,1.017700,0.999300,1.015700,1.015700,0
2010-04-28,1.016000,1.019500,1.007400,1.010100,1.010100,0
2010-04-29,1.010400,1.011200,1.001300,1.004000,1.004000,0
2010-04-30,1.003800,1.018000,1.001700,1.018000,1.018000,0
2010-05-03,1.015700,1.018400,1.010000,1.010800,1.010800,0
2010-05-04,1.010500,1.025500,1.010500,1.024700,1.024700,0
2010-05-05,1.024800,1.034890,1.023200,1.030500,1.030500,0
2010-05-06,1.030600,1.072100,1.027900,1.051500,1.051500,0
2010-05-07,1.051400,1.056680,1.034700,1.042400,1.042400,0
2010-05-10,1.036400,1.038800,1.020900,1.024400,1.024400,0
2010-05-11,1.024400,1.028700,1.015000,1.021400,1.021400,0
2010-05-12,1.021400,1.024510,1.015200,1.018700,1.018700,0
2010-05-13,1.018800,1.022360,1.010900,1.021300,1.021300,0
2010-05-14,1.021200,1.036800,1.020800,1.035200,1.035200,0
2010-05-17,1.034400,1.043500,1.030600,1.032900,1.032900,0
2010-05-18,1.033200,1.041020,1.024500,1.040650,1.040650,0
2010-05-19,1.040390,1.053400,1.038450,1.043560,1.043560,0
2010-05-20,1.043600,1.071700,1.042400,1.071300,1.071300,0
2010-05-21,1.071100,1.074400,1.055000,1.058100,1.058100,0
2010-05-24,1.062940,1.065740,1.053300,1.062600,1.062600,0
2010-05-25,1.062600,1.084730,1.062600,1.067700,1.067700,0
2010-05-26,1.067500,1.074150,1.058620,1.070000,1.070000,0
2010-05-27,1.069560,1.070400,1.047900,1.049900,1.049900,0
2010-05-28,1.049900,1.055710,1.044300,1.054000,1.054000,0
2010-05-31,1.054800,1.054920,1.041500,1.043100,1.043100,0
2010-06-01,1.043100,1.055900,1.041900,1.053800,1.053800,0
2010-06-02,1.053900,1.057200,1.037100,1.038800,1.038800,0
2010-06-03,1.038400,1.045630,1.033600,1.040300,1.040300,0
2010-06-04,1.040500,1.062500,1.036700,1.061500,1.061500,0
2010-06-07,1.063800,1.067800,1.051530,1.059460,1.059460,0
2010-06-08,1.059300,1.059760,1.046800,1.048120,1.048120,0
2010-06-09,1.048120,1.051500,1.036500,1.043500,1.043500,0
2010-06-10,1.043400,1.045100,1.028700,1.031000,1.031000,0
2010-06-11,1.031320,1.038680,1.029700,1.032400,1.032400,0
2010-06-14,1.032300,1.034600,1.022300,1.033130,1.033130,0
2010-06-15,1.033000,1.035800,1.024000,1.025600,1.025600,0
2010-06-16,1.025710,1.031900,1.022500,1.025100,1.025100,0
2010-06-17,1.024920,1.033310,1.022300,1.028700,1.028700,0
2010-06-18,1.028740,1.031000,1.020400,1.021400,1.021400,0
2010-06-21,1.020300,1.025600,1.013900,1.023300,1.023300,0
2010-06-22,1.023400,1.029400,1.017900,1.028100,1.028100,0
2010-06-23,1.027910,1.045600,1.027080,1.039000,1.039000,0
2010-06-24,1.038800,1.046400,1.037400,1.042500,1.042500,0
2010-06-25,1.042400,1.044000,1.034100,1.034900,1.034900,0
2010-06-28,1.036800,1.036980,1.031800,1.036500,1.036500,0
2010-06-29,1.036500,1.057400,1.034000,1.053900,1.053900,0
2010-06-30,1.053400,1.064740,1.046600,1.062600,1.062600,0
2010-07-01,1.062900,1.067390,1.062000,1.058680,1.058680,0
2010-07-02,1.058600,1.066600,1.055400,1.062200,1.062200,0
2010-07-05,1.062500,1.067400,1.057600,1.064900,1.064900,0
2010-07-06,1.064690,1.067500,1.048500,1.053800,1.053800,0
2010-07-07,1.054100,1.060340,1.046400,1.047900,1.047900,0
2010-07-08,1.048000,1.048200,1.038300,1.043100,1.043100,0
2010-07-09,1.043140,1.045200,1.029430,1.033400,1.033400,0
2010-07-12,1.032700,1.038400,1.029900,1.036300,1.036300,0
2010-07-13,1.036200,1.038300,1.027630,1.031000,1.031000,0
2010-07-14,1.030800,1.036700,1.028900,1.032850,1.032850,0
2010-07-15,1.032700,1.043790,1.028300,1.038140,1.038140,0
2010-07-16,1.038100,1.057510,1.038000,1.056900,1.056900,0
2010-07-19,1.056600,1.057900,1.050000,1.055100,1.055100,0
2010-07-20,1.055000,1.058300,1.042400,1.043600,1.043600,0
2010-07-21,1.043500,1.049890,1.034600,1.047760,1.047760,0
2010-07-22,1.047800,1.050140,1.035440,1.036170,1.036170,0
2010-07-23,1.036240,1.042300,1.034400,1.035800,1.035800,0
2010-07-26,1.037300,1.037900,1.030200,1.031800,1.031800,0
2010-07-27,1.031900,1.038700,1.025300,1.035200,1.035200,0
2010-07-28,1.031900,1.038900,1.029700,1.037890,1.037890,0
2010-07-29,1.037800,1.038870,1.029700,1.035000,1.035000,0
2010-07-30,1.034800,1.037500,1.026400,1.029200,1.029200,0
2010-08-02,1.029500,1.029600,1.020300,1.022600,1.022600,0
2010-08-03,1.022500,1.027130,1.022040,1.023660,1.023660,0
2010-08-04,1.023700,1.026700,1.017900,1.023600,1.023600,0
2010-08-05,1.017800,1.018500,1.010600,1.017800,1.017800,0
2010-08-06,1.016900,1.028000,1.014400,1.016800,1.016800,0
2010-08-09,1.028200,1.029700,1.025670,1.028170,1.028170,0
2010-08-10,1.027000,1.038600,1.027000,1.027000,1.027000,0
2010-08-11,1.030260,1.047190,1.030200,1.030400,1.030400,0
2010-08-12,1.047600,1.049200,1.042690,1.047600,1.047600,0
2010-08-13,1.041640,1.043760,1.035200,1.041600,1.041600,0
2010-08-16,1.041100,1.046300,1.036600,1.040990,1.040990,0
2010-08-17,1.043500,1.043560,1.030800,1.043480,1.043480,0
2010-08-18,1.032400,1.033900,1.026900,1.032390,1.032390,0
2010-08-19,1.027300,1.041300,1.024760,1.027480,1.027480,0
2010-08-20,1.039370,1.050800,1.038000,1.039500,1.039500,0
2010-08-23,1.048600,1.052030,1.044400,1.048700,1.048700,0
2010-08-24,1.052800,1.065700,1.052500,1.052910,1.052910,0
2010-08-25,1.059980,1.066490,1.057300,1.059990,1.059990,0
2010-08-26,1.059600,1.059960,1.052090,1.059580,1.059580,0
2010-08-27,1.057930,1.064600,1.053080,1.057890,1.057890,0
2010-08-30,1.048800,1.056840,1.047200,1.048770,1.048770,0
2010-08-31,1.060100,1.066600,1.057800,1.059990,1.059990,0
2010-09-01,1.064100,1.065000,1.048300,1.064310,1.064310,0
2010-09-02,1.051000,1.054500,1.047200,1.051000,1.051000,0
