Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,6.816300,6.816300,6.815900,6.815900,6.815900,0
2010-04-01,6.816200,6.816400,6.816200,6.816400,6.816400,0
2010-04-02,6.816400,6.816400,6.816400,6.816400,6.816400,0
2010-04-05,6.816400,6.816400,6.816400,6.816400,6.816400,0
2010-04-06,6.816400,6.816400,6.816000,6.816000,6.816000,0
2010-04-07,6.815400,6.815400,6.815400,6.815400,6.815400,0
2010-04-08,6.815400,6.815500,6.815400,6.815500,6.815500,0
2010-04-09,6.814000,6.814000,6.813400,6.813400,6.813400,0
2010-04-12,6.814800,6.815900,6.814800,6.815900,6.815900,0
2010-04-13,6.815900,6.816100,6.815900,6.816100,6.816100,0
2010-04-14,6.815900,6.815900,6.815900,6.815900,6.815900,0
2010-04-15,6.815800,6.815800,6.815800,6.815800,6.815800,0
2010-04-16,6.816100,6.816100,6.816100,6.816100,6.816100,0
2010-04-19,6.816000,6.816000,6.816000,6.816000,6.816000,0
2010-04-20,6.815900,6.815900,6.815900,6.815900,6.815900,0
2010-04-21,6.817100,6.817100,6.817100,6.817100,6.817100,0
2010-04-22,6.816400,6.816400,6.816400,6.816400,6.816400,0
2010-04-23,6.816900,6.821000,6.816900,6.818000,6.818000,0
2010-04-26,6.817600,6.817600,6.817600,6.817600,6.817600,0
2010-04-27,6.816600,6.816600,6.816600,6.816600,6.816600,0
2010-04-28,6.816600,6.816600,6.815000,6.815000,6.815000,0
2010-04-29,6.815800,6.815800,6.815800,6.815800,6.815800,0
2010-04-30,6.816000,6.816000,6.816000,6.816000,6.816000,0
2010-05-03,6.815000,6.815000,6.815000,6.815000,6.815000,0
2010-05-04,6.816300,6.816300,6.816300,6.816300,6.816300,0
2010-05-05,6.817100,6.817100,6.817100,6.817100,6.817100,0
2010-05-06,6.816800,6.816800,6.816800,6.816800,6.816800,0
2010-05-07,6.816800,6.816800,6.815700,6.815700,6.815700,0
2010-05-10,6.816000,6.816600,6.815800,6.816600,6.816600,0
2010-05-11,6.817700,6.817700,6.817700,6.817700,6.817700,0
2010-05-12,6.817600,6.817600,6.817600,6.817600,6.817600,0
2010-05-13,6.817600,6.817600,6.817600,6.817600,6.817600,0
2010-05-14,6.816600,6.816600,6.816600,6.816600,6.816600,0
2010-05-17,6.818900,6.818900,6.817700,6.817700,6.817700,0
2010-05-18,6.817600,6.817600,6.817000,6.817000,6.817000,0
2010-05-19,6.817500,6.817500,6.817500,6.817500,6.817500,0
2010-05-20,6.817700,6.818400,6.817500,6.817900,6.817900,0
2010-05-21,6.817400,6.818400,6.816300,6.816300,6.816300,0
2010-05-24,6.816300,6.816300,6.816300,6.816300,6.816300,0
2010-05-25,6.818600,6.821600,6.818600,6.821300,6.821300,0
2010-05-26,6.821200,6.821200,6.818000,6.818000,6.818000,0
2010-05-27,6.818000,6.820500,6.818000,6.820500,6.820500,0
2010-05-28,6.820300,6.820300,6.820300,6.820300,6.820300,0
2010-05-31,6.818100,6.818100,6.818100,6.818100,6.818100,0
2010-06-01,6.818300,6.818800,6.818300,6.818800,6.818800,0
2010-06-02,6.821300,6.821300,6.821300,6.821300,6.821300,0
2010-06-03,6.820000,6.820000,6.820000,6.820000,6.820000,0
2010-06-04,6.819300,6.819300,6.818700,6.818700,6.818700,0
2010-06-07,6.820600,6.820600,6.820600,6.820600,6.820600,0
2010-06-08,6.820700,6.820700,6.819500,6.819500,6.819500,0
2010-06-09,6.819200,6.819200,6.819200,6.819200,6.819200,0
2010-06-10,6.819100,6.819100,6.819100,6.819100,6.819100,0
2010-06-11,6.821000,6.822300,6.821000,6.822300,6.822300,0
2010-06-14,6.823300,6.823300,6.823300,6.823300,6.823300,0
2010-06-15,6.823300,6.823300,6.823300,6.823300,6.823300,0
2010-06-16,6.823300,6.823300,6.823300,6.823300,6.823300,0
2010-06-17,6.820200,6.820200,6.819300,6.819300,6.819300,0
2010-06-18,6.818600,6.818600,6.818600,6.818600,6.818600,0
2010-06-21,6.793300,6.799800,6.787100,6.787100,6.787100,0
2010-06-22,6.812100,6.812100,6.794000,6.802000,6.802000,0
2010-06-23,6.800400,6.800400,6.800400,6.800400,6.800400,0
2010-06-24,6.803900,6.803900,6.791000,6.791000,6.791000,0
2010-06-25,6.791000,6.791000,6.778000,6.782200,6.782200,0
2010-06-28,6.781000,6.784100,6.781000,6.784100,6.784100,0
2010-06-29,6.788000,6.789000,6.785000,6.789000,6.789000,0
2010-06-30,6.778800,6.778800,6.772000,6.772000,6.772000,0
2010-07-01,6.773000,6.773000,6.771000,6.771000,6.771000,0
2010-07-02,6.762800,6.765300,6.761600,6.761600,6.761600,0
2010-07-05,6.764500,6.766400,6.759500,6.766400,6.766400,0
2010-07-06,6.765700,6.770700,6.763500,6.770500,6.770500,0
2010-07-07,6.768000,6.768000,6.768000,6.768000,6.768000,0
2010-07-08,6.765900,6.769000,6.765600,6.765600,6.765600,0
2010-07-09,6.763500,6.763800,6.760500,6.763800,6.763800,0
2010-07-12,6.761700,6.761700,6.761700,6.761700,6.761700,0
2010-07-13,6.765500,6.768500,6.762300,6.762300,6.762300,0
2010-07-14,6.762300,6.763100,6.762300,6.763100,6.763100,0
2010-07-15,6.765400,6.765700,6.762400,6.765500,6.765500,0
2010-07-16,6.765500,6.765500,6.764600,6.764600,6.764600,0
2010-07-19,6.769000,6.769000,6.769000,6.769000,6.769000,0
2010-07-20,6.769000,6.769000,6.765200,6.768500,6.768500,0
2010-07-21,6.768200,6.768500,6.765200,6.768500,6.768500,0
2010-07-22,6.768100,6.768100,6.768100,6.768100,6.768100,0
2010-07-23,6.766500,6.769500,6.766500,6.769500,6.769500,0
2010-07-26,6.769600,6.769600,6.769600,6.769600,6.769600,0
2010-07-27,6.767500,6.770700,6.767500,6.767600,6.767600,0
2010-07-28,6.769500,6.769500,6.768300,6.768300,6.768300,0
2010-07-29,6.767000,6.767000,6.767000,6.767000,6.767000,0
2010-07-30,6.765200,6.765200,6.765200,6.765200,6.765200,0
2010-08-02,6.762700,6.764300,6.762700,6.764300,6.764300,0
2010-08-03,6.763700,6.763700,6.763700,6.763700,6.763700,0
2010-08-04,6.763000,6.763000,6.763000,6.763700,6.763700,0
2010-08-05,6.764700,6.764700,6.761500,6.763000,6.763000,0
2010-08-06,6.759000,6.759000,6.758300,6.761500,6.761500,0
2010-08-09,6.755500,6.755500,6.755500,6.758300,6.758300,0
2010-08-10,6.763000,6.763000,6.763000,6.755500,6.755500,0
2010-08-11,6.763700,6.763700,6.763700,6.763000,6.763000,0
2010-08-12,6.764000,6.774800,6.764000,6.763700,6.763700,0
2010-08-13,6.777600,6.787500,6.777600,6.774800,6.774800,0
2010-08-16,6.793500,6.796200,6.792900,6.786000,6.786000,0
2010-08-17,6.784600,6.785600,6.782000,6.794100,6.794100,0
2010-08-18,6.779100,6.783400,6.779100,6.782300,6.782300,0
2010-08-19,6.781100,6.781100,6.780000,6.780000,6.780000,0
2010-08-20,6.778500,6.780800,6.777500,6.780000,6.780000,0
2010-08-23,6.788500,6.790000,6.788200,6.780800,6.780800,0
2010-08-24,6.790000,6.790100,6.786500,6.790000,6.790000,0
