Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,0.744930,0.746940,0.738230,0.740300,0.740300,0
2010-04-01,0.740280,0.742790,0.735770,0.736160,0.736160,0
2010-04-02,0.736200,0.741950,0.735730,0.740470,0.740470,0
2010-04-05,0.740910,0.742790,0.738610,0.741340,0.741340,0
2010-04-06,0.741340,0.748600,0.740860,0.746160,0.746160,0
2010-04-07,0.746260,0.750190,0.745710,0.749150,0.749150,0
2010-04-08,0.749510,0.752690,0.748110,0.748440,0.748440,0
2010-04-09,0.748450,0.749400,0.740690,0.740690,0.740690,0
2010-04-12,0.733300,0.736920,0.730570,0.735510,0.735510,0
2010-04-13,0.735510,0.738030,0.734110,0.734830,0.734830,0
2010-04-14,0.734390,0.735140,0.731100,0.732280,0.732280,0
2010-04-15,0.732220,0.739370,0.731640,0.736700,0.736700,0
2010-04-16,0.736700,0.741860,0.736650,0.740520,0.740520,0
2010-04-19,0.741340,0.745160,0.741110,0.741440,0.741440,0
2010-04-20,0.741340,0.744600,0.739540,0.744320,0.744320,0
2010-04-21,0.744290,0.748280,0.743600,0.746830,0.746830,0
2010-04-22,0.746910,0.753690,0.745160,0.753580,0.753580,0
2010-04-23,0.753590,0.757050,0.746270,0.747160,0.747160,0
2010-04-26,0.748280,0.752110,0.745490,0.746200,0.746200,0
2010-04-27,0.746060,0.760570,0.745530,0.759260,0.759260,0
2010-04-28,0.759130,0.762250,0.753810,0.756840,0.756840,0
2010-04-29,0.756890,0.758410,0.753200,0.753980,0.753980,0
2010-04-30,0.753810,0.755970,0.749510,0.751990,0.751990,0
2010-05-03,0.750580,0.759880,0.750360,0.757580,0.757580,0
2010-05-04,0.757580,0.771370,0.756750,0.771370,0.771370,0
2010-05-05,0.771130,0.781480,0.769530,0.780340,0.780340,0
2010-05-06,0.780280,0.797420,0.777930,0.791580,0.791580,0
2010-05-07,0.791860,0.794140,0.781500,0.783940,0.783940,0
2010-05-10,0.776460,0.783470,0.763830,0.782520,0.782520,0
2010-05-11,0.782520,0.792460,0.781190,0.791770,0.791770,0
2010-05-12,0.791450,0.793120,0.785030,0.791200,0.791200,0
2010-05-13,0.791390,0.798830,0.788330,0.797380,0.797380,0
2010-05-14,0.797510,0.809190,0.795100,0.809060,0.809060,0
2010-05-17,0.808260,0.816590,0.805760,0.806910,0.806910,0
2010-05-18,0.807020,0.821840,0.803750,0.821090,0.821090,0
2010-05-19,0.820620,0.823320,0.804310,0.806880,0.806880,0
2010-05-20,0.807100,0.813070,0.793780,0.801350,0.801350,0
2010-05-21,0.801160,0.801470,0.789140,0.795730,0.795730,0
2010-05-24,0.797830,0.810770,0.797130,0.809720,0.809720,0
2010-05-25,0.809590,0.820950,0.807360,0.809980,0.809980,0
2010-05-26,0.809980,0.822660,0.809190,0.821490,0.821490,0
2010-05-27,0.821520,0.821960,0.806780,0.809850,0.809850,0
2010-05-28,0.810250,0.815130,0.803390,0.814730,0.814730,0
2010-05-31,0.814520,0.814930,0.810710,0.813810,0.813810,0
