Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,1.407900,1.415200,1.404500,1.414400,1.414400,0
2010-04-01,1.414100,1.420900,1.407900,1.412900,1.412900,0
2010-04-02,1.412800,1.417600,1.411200,1.414800,1.414800,0
2010-04-05,1.414400,1.423800,1.413400,1.420900,1.420900,0
2010-04-06,1.419800,1.435300,1.413600,1.416300,1.416300,0
2010-04-07,1.416600,1.422500,1.409000,1.413800,1.413800,0
2010-04-08,1.413700,1.426500,1.412300,1.413200,1.413200,0
2010-04-09,1.413200,1.414800,1.393600,1.396300,1.396300,0
2010-04-12,1.390800,1.405900,1.389600,1.401700,1.401700,0
2010-04-13,1.402500,1.410400,1.398600,1.410000,1.410000,0
2010-04-14,1.408600,1.409800,1.397200,1.397200,1.397200,0
2010-04-15,1.397400,1.407100,1.396300,1.404700,1.404700,0
2010-04-16,1.404900,1.414800,1.397200,1.409800,1.409800,0
2010-04-19,1.413300,1.416600,1.399400,1.409400,1.409400,0
2010-04-20,1.409500,1.411200,1.402900,1.404500,1.404500,0
2010-04-21,1.404300,1.412800,1.401500,1.408500,1.408500,0
2010-04-22,1.408500,1.413700,1.399600,1.408800,1.408800,0
2010-04-23,1.408600,1.410800,1.392800,1.393900,1.393900,0
2010-04-26,1.393300,1.394500,1.378500,1.382900,1.382900,0
2010-04-27,1.382600,1.407700,1.382200,1.403100,1.403100,0
2010-04-28,1.403200,1.405700,1.385000,1.392000,1.392000,0
2010-04-29,1.392200,1.397600,1.378700,1.379900,1.379900,0
2010-04-30,1.379700,1.381800,1.365000,1.374600,1.374600,0
2010-05-03,1.372200,1.375300,1.365200,1.368400,1.368400,0
2010-05-04,1.367200,1.390700,1.367200,1.388500,1.388500,0
2010-05-05,1.388100,1.399000,1.377400,1.377400,1.377400,0
2010-05-06,1.379100,1.423300,1.373600,1.402500,1.402500,0
2010-05-07,1.401900,1.420100,1.395500,1.398400,1.398400,0
2010-05-10,1.393900,1.399200,1.370600,1.386400,1.386400,0
2010-05-11,1.386600,1.396800,1.384300,1.395100,1.395100,0
2010-05-12,1.394300,1.406900,1.388600,1.397600,1.397600,0
2010-05-13,1.397800,1.404100,1.389900,1.403900,1.403900,0
2010-05-14,1.402900,1.415600,1.398400,1.413800,1.413800,0
2010-05-17,1.415000,1.445100,1.413100,1.430800,1.430800,0
2010-05-18,1.430800,1.451800,1.420300,1.451000,1.451000,0
2010-05-19,1.449900,1.500600,1.449500,1.466500,1.466500,0
2010-05-20,1.466300,1.509200,1.453700,1.497000,1.497000,0
2010-05-21,1.496900,1.505100,1.467100,1.473200,1.473200,0
2010-05-24,1.479300,1.494800,1.473000,1.490500,1.490500,0
2010-05-25,1.490800,1.523100,1.486300,1.493200,1.493200,0
2010-05-26,1.493400,1.511900,1.482800,1.495400,1.495400,0
2010-05-27,1.497000,1.508300,1.457900,1.469100,1.469100,0
2010-05-28,1.468600,1.479500,1.457100,1.472500,1.472500,0
2010-05-31,1.478600,1.485900,1.460500,1.468000,1.468000,0
2010-06-01,1.466600,1.491400,1.462000,1.476700,1.476700,0
2010-06-02,1.477800,1.487700,1.465400,1.469600,1.469600,0
2010-06-03,1.469700,1.473400,1.449100,1.462400,1.462400,0
2010-06-04,1.462400,1.495000,1.456300,1.490300,1.490300,0
2010-06-07,1.499900,1.519100,1.493400,1.517500,1.517500,0
2010-06-08,1.517500,1.520500,1.495700,1.499000,1.499000,0
2010-06-09,1.499000,1.511300,1.480800,1.482800,1.482800,0
2010-06-10,1.483200,1.492300,1.453900,1.461800,1.461800,0
2010-06-11,1.461800,1.469500,1.446300,1.449100,1.449100,0
2010-06-14,1.445300,1.445500,1.424300,1.438400,1.438400,0
2010-06-15,1.438400,1.450800,1.429600,1.431400,1.431400,0
2010-06-16,1.431800,1.442000,1.428000,1.432700,1.432700,0
2010-06-17,1.432300,1.438600,1.416400,1.420000,1.420000,0
2010-06-18,1.420100,1.424100,1.413400,1.414600,1.414600,0
2010-06-21,1.406100,1.414000,1.398000,1.411200,1.411200,0
2010-06-22,1.411000,1.421300,1.404100,1.417600,1.417600,0
2010-06-23,1.416000,1.422400,1.397200,1.403100,1.403100,0
2010-06-24,1.402700,1.420500,1.399600,1.411400,1.411400,0
2010-06-25,1.411400,1.428200,1.396800,1.400200,1.400200,0
2010-06-28,1.403500,1.416900,1.398800,1.416900,1.416900,0
2010-06-29,1.418200,1.446400,1.414200,1.444300,1.444300,0
2010-06-30,1.443800,1.460700,1.437000,1.458800,1.458800,0
2010-07-01,1.458400,1.470800,1.454100,1.445700,1.445700,0
2010-07-02,1.445300,1.454300,1.434000,1.452000,1.452000,0
2010-07-05,1.453400,1.458200,1.441000,1.455500,1.455500,0
2010-07-06,1.454500,1.464300,1.433300,1.443600,1.443600,0
2010-07-07,1.444300,1.451600,1.418200,1.421100,1.421100,0
2010-07-08,1.421100,1.422900,1.407500,1.410200,1.410200,0
2010-07-09,1.410400,1.415000,1.404700,1.405900,1.405900,0
2010-07-12,1.406300,1.416200,1.401000,1.404900,1.404900,0
2010-07-13,1.404900,1.412600,1.387100,1.393100,1.393100,0
